ID,Cliente,Compras,Visitas,Monto_Total,Devoluciones,Reseñas,Calificacion_Promedio,Fecha_Primera_Compra,Categoria_Favorita,Tasa_Conversion,Ticket_Promedio,Tasa_Devolucion,Segmento
1,María García,39,23,4488.99,0,5,4.8,2025-04-30,Deportes,169.57,115.1,0.0,Premium
2,Luis López,29,10,447.16,8,4,2.0,2025-04-14,Deportes,290.0,15.42,27.59,Regular
3,Ana Martínez,15,69,2646.33,0,14,1.5,2024-06-22,Libros,21.74,176.42,0.0,Regular
4,María Torres,43,34,2081.46,7,2,1.8,2024-06-30,Deportes,126.47,48.41,16.28,Regular
5,María Flores,8,52,4912.77,1,11,4.5,2024-04-09,Deportes,15.38,614.1,12.5,Regular
6,José García,21,95,604.59,7,6,3.6,2024-09-30,Hogar,22.11,28.79,33.33,Regular
7,Juan Rodríguez,39,10,2019.39,2,10,2.1,2025-09-14,Ropa,390.0,51.78,5.13,Regular
8,Ana López,19,19,4848.88,5,9,4.3,2024-11-13,Libros,100.0,255.2,26.32,Regular
9,Miguel Flores,23,58,4334.26,2,8,4.4,2024-08-11,Electrónica,39.66,188.45,8.7,Regular
10,Juan Torres,11,96,4094.51,6,13,4.4,2024-10-06,Hogar,11.46,372.23,54.55,Regular
11,Ana Torres,11,1,1326.62,9,12,4.7,2025-02-25,Deportes,1100.0,120.6,81.82,Ocasional
12,José López,24,69,895.89,8,12,2.0,2025-03-10,Electrónica,34.78,37.33,33.33,Regular
13,Laura Flores,36,4,3359.78,1,8,4.0,2024-07-28,Hogar,900.0,93.33,2.78,Premium
14,Luis García,40,16,4650.41,4,13,2.8,2024-08-06,Libros,250.0,116.26,10.0,Premium
15,Carlos Sánchez,24,24,2805.98,5,8,4.4,2025-01-23,Deportes,100.0,116.92,20.83,Regular
16,Carmen González,3,80,2879.48,3,1,3.9,2024-11-04,Libros,3.75,959.83,100.0,Regular
17,Carlos López,22,2,1435.9,3,2,4.1,2025-03-21,Hogar,1100.0,65.27,13.64,Regular
18,Carmen Rodríguez,2,92,3858.99,3,6,3.6,2025-08-04,Electrónica,2.17,1929.5,150.0,Regular
19,María Sánchez,24,32,975.87,1,4,1.7,2024-03-01,Ropa,75.0,40.66,4.17,Regular
20,María Pérez,44,91,1652.21,3,1,3.2,2025-06-14,Deportes,48.35,37.55,6.82,Regular
21,Carmen Flores,30,84,2155.91,0,2,4.9,2024-07-08,Libros,35.71,71.86,0.0,Regular
